OrderID,Product,Category,UnitPrice
101,Apple,Fruits,364.81
102,Butter,Dairy,124.49
103,Butter,Dairy,430.94
104,Tomato,Vegetables,325.15
105,Banana,Fruits,294.27
106,Tomato,Vegetables,139.16
107,Paneer,Dairy,231.33
108,Mango,Fruits,23.43
109,Spinach,Vegetables,360.79
110,Yogurt,Dairy,379.98
111,Chocolate,Snacks,44.86
112,Energy Drink,Beverages,391.6
113,Potato,Vegetables,365.07
114,Popcorn,Snacks,160.79
115,Tomato,Vegetables,251.77
116,Popcorn,Snacks,122.21
117,Carrot,Vegetables,180.58
118,Spinach,Vegetables,142.6
119,Onion,Vegetables,57.34
120,Coffee,Beverages,46.42
121,Tea,Beverages,220.43
122,Onion,Vegetables,391.29
123,Butter,Dairy,53.86
124,Banana,Fruits,200.99
125,Butter,Dairy,60.44
126,Paneer,Dairy,433.35
127,Cheese,Dairy,161.46
128,Juice,Beverages,209.56
129,Cheese,Dairy,348.28
130,Chocolate,Snacks,351.42
131,Coffee,Beverages,80.05
132,Soda,Beverages,266.83
133,Paneer,Dairy,71.44
134,Popcorn,Snacks,358.37
135,Orange,Fruits,184.14
136,Grapes,Fruits,241.95
137,Carrot,Vegetables,282.98
138,Cheese,Dairy,275.16
139,Apple,Fruits,392.66
140,Tea,Beverages,14.72
141,Apple,Fruits,224.03
142,Coffee,Beverages,448.31
143,Carrot,Vegetables,379.57
144,Chocolate,Snacks,419.19
145,Juice,Beverages,83.96
146,Tomato,Vegetables,455.93
147,Orange,Fruits,314.08
148,Spinach,Vegetables,203.15
149,Yogurt,Dairy,229.52
150,Chocolate,Snacks,67.84
151,Spinach,Vegetables,111.01
152,Grapes,Fruits,369.73
153,Potato,Vegetables,269.26
154,Chocolate,Snacks,84.93
155,Grapes,Fruits,408.31
156,Mango,Fruits,114.29
157,Yogurt,Dairy,63.29
158,Carrot,Vegetables,340.23
159,Tomato,Vegetables,13.04
160,Biscuits,Snacks,220.32
161,Cheese,Dairy,79.64
162,Apple,Fruits,195.87
163,Namkeen,Snacks,378.34
164,Chocolate,Snacks,87.62
165,Carrot,Vegetables,212.07
166,Onion,Vegetables,335.93
167,Soda,Beverages,409.13
168,Coffee,Beverages,26.66
169,Soda,Beverages,307.94
170,Mango,Fruits,287.93
171,Chocolate,Snacks,477.72
172,Grapes,Fruits,225.2
173,Chips,Snacks,473.87
174,Banana,Fruits,398.59
175,Butter,Dairy,58.32
176,Banana,Fruits,263.04
177,Chocolate,Snacks,93.36
178,Potato,Vegetables,417.21
179,Apple,Fruits,468.73
180,Potato,Vegetables,68.1
181,Soda,Beverages,226.01
182,Chips,Snacks,291.49
183,Orange,Fruits,19.72
184,Chips,Snacks,113.93
185,Paneer,Dairy,148.1
186,Milk,Dairy,108.6
187,Yogurt,Dairy,54.59
188,Tomato,Vegetables,447.1
189,Banana,Fruits,292.17
190,Butter,Dairy,387.7
191,Biscuits,Snacks,57.34
192,Chocolate,Snacks,213.83
193,Popcorn,Snacks,277.57
194,Chips,Snacks,190.54
195,Potato,Vegetables,430.57
196,Potato,Vegetables,250.27
197,Namkeen,Snacks,275.51
198,Paneer,Dairy,481.9
199,Potato,Vegetables,144.38
200,Spinach,Vegetables,372.05
201,Mango,Fruits,90.84
202,Grapes,Fruits,286.08
203,Onion,Vegetables,99.64
204,Energy Drink,Beverages,411.74
205,Tomato,Vegetables,224.14
206,Tomato,Vegetables,165.65
207,Coffee,Beverages,307.6
208,Yogurt,Dairy,487.3
209,Energy Drink,Beverages,362.76
210,Popcorn,Snacks,175.87
211,Biscuits,Snacks,498.8
212,Energy Drink,Beverages,327
213,Soda,Beverages,475.21
214,Coffee,Beverages,472.97
215,Potato,Vegetables,272.05
216,Namkeen,Snacks,438.19
217,Apple,Fruits,40.07
218,Energy Drink,Beverages,181.23
219,Namkeen,Snacks,113.33
220,Chips,Snacks,46.99
221,Popcorn,Snacks,434.77
222,Biscuits,Snacks,87.99
223,Popcorn,Snacks,187.17
224,Butter,Dairy,14.49
225,Grapes,Fruits,41.68
226,Milk,Dairy,75.29
227,Paneer,Dairy,220.75
228,Yogurt,Dairy,431.75
229,Potato,Vegetables,93.52
230,Milk,Dairy,286.05
